,coef,std err,t,P>|t|,[0.025,0.975]
Intercept, 3.585e+05, 1.24e+06,    0.288, 0.774,-2.15e+06, 2.86e+06
treated, 2.492e+07, 1.76e+06,   14.178, 0.000, 2.14e+07, 2.85e+07
policy,  3.82e+05, 1.76e+06,    0.217, 0.829,-3.16e+06, 3.92e+06
treated_post,-4.092e+06, 2.49e+06,   -1.646, 0.107, -9.1e+06, 9.17e+05
